nombre,poblacion,superficie,continente
Argentina,45376763,3669711,América
Brasil,213993437,8515767,América
Canadá,38250500,9984670,América
México,128932753,1964375,América
Chile,19116209,756950,América
Alemania,83783942,357022,Europa
Francia,67971000,551500,Europa
Italia,60340328,301318,Europa
España,47351567,504782,Europa
Reino Unido,67886011,244820,Europa
China,1439323776,9596961,Asia
India,1380004385,3287263,Asia
Indonesia,273523615,1910931,Asia
Egipto,102334404,1001450,África
Nigeria,206139589,923768,África
Sudáfrica,59308690,1219912,África
Australia,25687024,7692024,Oceanía
Nueva Zelanda,5000000,268680,Oceanía
